% Model:              cuff_3d_14electrodes_4mm_nerve.mph
% Version:            COMSOL 5.3.0.260
% Date:               Apr 27 2020, 14:13
% Dimension:          3
% Nodes:              6561
% Expressions:        1
% Description:        Electric potential
% Length unit:        m
% X                       Y                        Z                        V (V)
-0.00201                  -0.00201                 0                        0.07923834849604074
-0.00196                  -0.00201                 0                        0.08024920319814154
-0.00191                  -0.00201                 0                        0.08109058850910808
-0.00186                  -0.00201                 0                        0.0817185939168224
-0.00181                  -0.00201                 0                        0.08211219184954571
-0.00176                  -0.00201                 0                        0.08220703841842081
-0.0017100000000000001    -0.00201                 0                        0.08200293245219908
-0.00166                  -0.00201                 0                        0.08161764525150822
-0.00161                  -0.00201                 0                        0.08104597775782463
-0.00156                  -0.00201                 0                        0.08022574517127525
-0.00151                  -0.00201                 0                        0.07920424604265054
-0.00146                  -0.00201                 0                        0.0779782234503429
-0.00141                  -0.00201                 0                        0.07660487032525275
-0.00136                  -0.00201                 0                        0.07506936780127307
-0.00131                  -0.00201                 0                        0.0733812546534464
-0.00126                  -0.00201                 0                        0.07155970901756857
-0.0012100000000000001    -0.00201                 0                        0.06958262612395769
-0.00116                  -0.00201                 0                        0.06748318292922273
-0.0011099999999999999    -0.00201                 0                        0.06524625773321065
-0.0010600000000000002    -0.00201                 0                        0.06293749209030601
-0.00101                  -0.00201                 0                        0.06055831604117057
-9.599999999999999E-4     -0.00201                 0                        0.058148487275568275
-9.1E-4                   -0.00201                 0                        0.055756353275631255
-8.600000000000001E-4     -0.00201                 0                        0.053388712302343024
-8.1E-4                   -0.00201                 0                        0.051097486779654956
-7.6E-4                   -0.00201                 0                        0.04886339608487477
-7.099999999999999E-4     -0.00201                 0                        0.04670849615262865
-6.6E-4                   -0.00201                 0                        0.04622757336733178
-6.100000000000001E-4     -0.00201                 0                        0.04666768968671139
-5.6E-4                   -0.00201                 0                        0.046611996997040786
-5.1E-4                   -0.00201                 0                        0.0460756841773226
-4.599999999999999E-4     -0.00201                 0                        0.044870033836061314
-4.1E-4                   -0.00201                 0                        0.042777692816175036
-3.600000000000001E-4     -0.00201                 0                        0.04329626529515489
-3.0999999999999995E-4    -0.00201                 0                        0.04313426194045039
-2.6000000000000003E-4    -0.00201                 0                        0.04274233201424611
-2.099999999999999E-4     -0.00201                 0                        0.04199941673638328
-1.5999999999999999E-4    -0.00201                 0                        0.04103607144902807
-1.1000000000000007E-4    -0.00201                 0                        0.03991273272470074
-5.999999999999994E-5     -0.00201                 0                        0.03867856013878125
-1.0000000000000026E-5    -0.00201                 0                        0.03730587467307178
4.0000000000000105E-5     -0.00201                 0                        0.035841968613348034
9.000000000000024E-5      -0.00201                 0                        0.03424243302966437
1.3999999999999993E-4     -0.00201                 0                        0.03262830963496953
1.9000000000000006E-4     -0.00201                 0                        0.0309045945405972
2.400000000000002E-4      -0.00201                 0                        0.029056421575062545
2.899999999999999E-4      -0.00201                 0                        0.027044887509208082
3.4E-4                    -0.00201                 0                        0.024738567207588793
3.9000000000000016E-4     -0.00201                 0                        0.022634486418677165
4.3999999999999985E-4     -0.00201                 0                        0.021998052876885173
4.9E-4                    -0.00201                 0                        0.020840686626607284
5.400000000000001E-4      -0.00201                 0                        0.019443329474947074
5.900000000000002E-4      -0.00201                 0                        0.01787167375788652
6.399999999999999E-4      -0.00201                 0                        0.016290833396049333
6.900000000000001E-4      -0.00201                 0                        0.014712036044480086
7.400000000000002E-4      -0.00201                 0                        0.014240377369809246
7.899999999999999E-4      -0.00201                 0                        0.013797667869605573
8.4E-4                    -0.00201                 0                        0.013389259490429253
8.900000000000002E-4      -0.00201                 0                        0.013005440253735139
9.399999999999999E-4      -0.00201                 0                        0.012635017909049494
9.9E-4                    -0.00201                 0                        0.012269025453072315
0.0010400000000000001     -0.00201                 0                        0.011911666098550364
0.0010900000000000003     -0.00201                 0                        0.01156777926558377
0.00114                   -0.00201                 0                        0.011228441929612266
0.00119                   -0.00201                 0                        0.010884704335540531
0.0012400000000000002     -0.00201                 0                        0.010540310846386694
0.00129                   -0.00201                 0                        0.010196955869297628
0.00134                   -0.00201                 0                        0.009857316773999569
0.0013900000000000002     -0.00201                 0                        0.009523191220497967
0.0014400000000000003     -0.00201                 0                        0.009198324773655913
0.00149                   -0.00201                 0                        0.008881167237466061
0.0015400000000000001     -0.00201                 0                        0.008574142556863708
0.0015900000000000003     -0.00201                 0                        0.008277452335565746
0.00164                   -0.00201                 0                        0.007989324953056374
0.00169                   -0.00201                 0                        0.007708433955034089
0.0017400000000000002     -0.00201                 0                        0.007438800540276857
0.00179                   -0.00201                 0                        0.007175835731394038
0.00184                   -0.00201                 0                        0.006919324738537267
0.0018900000000000002     -0.00201                 0                        0.006671074021872954
0.0019400000000000003     -0.00201                 0                        0.006430310219658466
0.00199                   -0.00201                 0                        0.006194867583544831
-0.00201                  -0.00196                 0                        0.08408729338265626
-0.00196                  -0.00196                 0                        0.08523329188573438
-0.00191                  -0.00196                 0                        0.08620854935164804
-0.00186                  -0.00196                 0                        0.0869459621486512
-0.00181                  -0.00196                 0                        0.08734496204189698
-0.00176                  -0.00196                 0                        0.08740573537304042
-0.0017100000000000001    -0.00196                 0                        0.08712828214208146
-0.00166                  -0.00196                 0                        0.08666813148136172
-0.00161                  -0.00196                 0                        0.08604241309978897
-0.00156                  -0.00196                 0                        0.08505471688084221
-0.00151                  -0.00196                 0                        0.08387652770211902
-0.00146                  -0.00196                 0                        0.08248784322278502
-0.00141                  -0.00196                 0                        0.08091126214637187
-0.00136                  -0.00196                 0                        0.07916026140408473
