% Model:              cuff_3d_14electrodes.mph
% Version:            COMSOL 5.3.0.260
% Date:               Oct 1 2019, 23:05
% Dimension:          3
% Nodes:              23104
% Expressions:        1
% Description:        Electric potential
% Length unit:        m
% X                       Y                        Z                        V (V)
-0.00151                  -0.00151                 0                        0.03109900985696789
-0.00149                  -0.00151                 0                        0.03141035296420858
-0.00147                  -0.00151                 0                        0.031725304323299064
-0.0014500000000000001    -0.00151                 0                        0.03203637968290892
-0.00143                  -0.00151                 0                        0.032337652581623084
-0.00141                  -0.00151                 0                        0.032636311880807484
-0.00139                  -0.00151                 0                        0.03293235758046217
-0.0013700000000000001    -0.00151                 0                        0.03322578968058709
-0.00135                  -0.00151                 0                        0.0335165502370047
-0.00133                  -0.00151                 0                        0.033803990666382865
-0.00131                  -0.00151                 0                        0.034088361137911416
-0.0012900000000000001    -0.00151                 0                        0.034369364310802925
-0.00127                  -0.00151                 0                        0.03464898092264128
-0.00125                  -0.00151                 0                        0.034926729553176133
-0.00123                  -0.00151                 0                        0.03520241074959781
-0.0012100000000000001    -0.00151                 0                        0.03547742284110885
-0.00119                  -0.00151                 0                        0.03574865554558739
-0.00117                  -0.00151                 0                        0.03601610886303347
-0.00115                  -0.00151                 0                        0.03627963140554831
-0.00113                  -0.00151                 0                        0.036539331401018726
-0.00111                  -0.00151                 0                        0.03679632976006074
-0.00109                  -0.00151                 0                        0.03705474168608253
-0.00107                  -0.00151                 0                        0.03730715080809657
-0.0010500000000000002    -0.00151                 0                        0.03755452151011718
-0.00103                  -0.00151                 0                        0.03779882562641315
-0.00101                  -0.00151                 0                        0.03804005870178351
-9.9E-4                   -0.00151                 0                        0.03827821627381123
-9.7E-4                   -0.00151                 0                        0.038513293872848964
-9.5E-4                   -0.00151                 0                        0.03874528702200447
-9.3E-4                   -0.00151                 0                        0.038974094455867345
-9.1E-4                   -0.00151                 0                        0.039200050579496125
-8.900000000000001E-4     -0.00151                 0                        0.03942349938150436
-8.7E-4                   -0.00151                 0                        0.05095974627372783
-8.5E-4                   -0.00151                 0                        0.06715238349167557
-8.3E-4                   -0.00151                 0                        0.08379845785508139
-8.1E-4                   -0.00151                 0                        0.10086413388086964
-7.9E-4                   -0.00151                 0                        0.11832795515880662
-7.7E-4                   -0.00151                 0                        0.13649026755246663
-7.5E-4                   -0.00151                 0                        0.15532495221577775
-7.3E-4                   -0.00151                 0                        0.17465669054086785
-7.1E-4                   -0.00151                 0                        0.19436680966076153
-6.9E-4                   -0.00151                 0                        0.21476775831237255
-6.7E-4                   -0.00151                 0                        0.23595670992810402
-6.5E-4                   -0.00151                 0                        0.2578462545418824
-6.3E-4                   -0.00151                 0                        0.2804461451830515
-6.1E-4                   -0.00151                 0                        0.30380064421935116
-5.9E-4                   -0.00151                 0                        0.32798529825160166
-5.7E-4                   -0.00151                 0                        0.3529856301608782
-5.499999999999999E-4     -0.00151                 0                        0.37879110943155186
-5.299999999999999E-4     -0.00151                 0                        0.4058462442716438
-5.1E-4                   -0.00151                 0                        0.43393557325226173
-4.9E-4                   -0.00151                 0                        0.46297575589799334
-4.6999999999999993E-4    -0.00151                 0                        0.4929923348940711
-4.499999999999999E-4     -0.00151                 0                        0.5243684413825461
-4.3000000000000004E-4    -0.00151                 0                        0.5571700247520472
-4.1E-4                   -0.00151                 0                        0.5912160441161279
-3.8999999999999994E-4    -0.00151                 0                        0.6268316610032969
-3.699999999999999E-4     -0.00151                 0                        0.664281584758011
-3.5000000000000005E-4    -0.00151                 0                        0.7035253556759888
-3.3E-4                   -0.00151                 0                        0.7445221274496897
-3.0999999999999995E-4    -0.00151                 0                        0.7879688792740509
-2.899999999999999E-4     -0.00151                 0                        0.833398008657256
-2.7000000000000006E-4    -0.00151                 0                        0.8803689026158077
-2.5E-4                   -0.00151                 0                        0.9301876439131483
-2.2999999999999995E-4    -0.00151                 0                        0.9840983009221852
-2.099999999999999E-4     -0.00151                 0                        1.0419762819986895
-1.8999999999999985E-4    -0.00151                 0                        1.103495010061861
-1.7E-4                   -0.00151                 0                        1.168253303899892
-1.4999999999999996E-4    -0.00151                 0                        1.2394349526580686
-1.299999999999999E-4     -0.00151                 0                        1.3144489509226764
-1.0999999999999985E-4    -0.00151                 0                        1.3960350682124951
-9.000000000000002E-5     -0.00151                 0                        1.4846846548956478
